Код;Описание;Уровень
D3090100;Специализированный охлаждающие системы и устройства;4
D3090200;Специализированный контроль влажности;4
D3090300;Пылеуловители;4
D3090400;Воздушные завесы;4
D3090500;Очистители воздуха;4
D3090600;Вентиляция для краскораспылителей;4
D3090700;Общие строительные элементы (ОВиК);4
D3090900;Другие детали ОВИК систем и оборудования;4
D40;Огнезащита;2
D4010;Спринклеры;3
D4010100;Спринклерный водопровод;4
D4010200;Спринклерные насосные установки;4
D4010300;Наполненные спринклерные системы;4
D4010400;Сухотрубные спринклерные системы;4
D4020;Напорные трубопроводы;3
D4020100;Напорные трубопроводы водоснабжения;4
D4020200;Насосное оборудование;4
D4020300;Напорное оборудование;4
D4020400;Напорное оборудование пожаротушения;4
D4030;Специализированная противопожарная защита;3
D4030100;Огнетушители;4
D4030200;Шкафы с огнетушителями;4
D4030900;Другие специализированные элементы противопожарной защиты;4
D4090;Другие системы противопожарной защиты;3
D4090100;Углекислотные противопожарные системы;4
D4090200;Пеногенерирующее оборудование для тушения пожаров;4
D4090300;Система автономного пожаротушения огнетушителями;4
D4090400;Системы порошкового пожаротушения;4
D4090500;Вытяжные и воздухоудаляющия противопожарная защита;4
D4090900;Другие системы пожаротушения;4
D50;Электрика;2
D5010;Электрооборудование / Системы распределения;3
D5010100;Высоковольтное оборудование и доставка;4
D5010200;Низковольтное оборудование и доставка;4
D5020;Освещение и электропроводка внутри квартиры (розетки, выключатели);3
D5020100;Внутренняя разводка и приборы;4
D5020110;Розетки в стенах;5
D5020115;Розетки в полу;5
D5020120;Выключатели настенные;5
D5020200;Осветительное оборудование;4
D5020210;Освещение - Люминесцентное;5
D5020220;Освещение - Лампы накаливания;5
D5020230;Освещение - Высокой интенсивности;5
D5020280;Фонарные столбы;5
D5030;Связь и безопасность;3
D5030100;Системы громкого оповещения и музыкальные системы;4
D5030200;Домофоны и системы громкоговорящего вызова (лифты, метро);4
D5030300;Телефонные системы;4
D5030400;Системы экстренного вызова;4
D5030500;Телевизионные системы;4
D5030600;Интернет системы;4
D5030700;Системы пожарной сигнализации;4
D5030800;Системы безопасности и видеонаблюдения;4
D5030900;Другие системы связи и безопасности;4
D5090;Другие электрические системы;3
D5090100;Системы заземления;4
D5090200;Системы аварийного освещения и резервного энергопитания;4
D5090300;Системы кабельных каналов в полах;4
D5090400;Общие строительные элементы (для Электр.);4
D5090900;Другие электрические системы;4
E;Оборудование и мебель;1
E10;Оборудование;2
E1010;Коммерческое оборудование;3
E1010100;Охранное оборудование и сейфы;4
E1010110;Инжерено-технические средства безопасности;5
E1010120;Сейфовое оборудование;5
E1010200;Банкоматы и устройства оплаты услуг;4
